70,136
29,142
43,139
54,142
37,147
67,147
48,148
73,153
38,156
49,156
59,155
64,162
73,163
32,165
40,164
50,164
79,164
24,132
62,139
55,149
30,156
35,172
43,176
57,131
57,164
50,173
34,132
14,157
62,174
55,181
25,122
42,126
79,155
45,169
70,173
67,180
74,180
61,185
57,193
17,124
30,149
21,154
33,119
74,131
26,172
78,171
31,181
86,179
21,188
47,189
78,121
42,183
88,169
16,196
85,111
64,125
106,161
98,170
34,188
54,123
48,129
88,163
16,165
23,165
88,187
20,203
33,112
95,181
102,188
52,112
94,157
108,169
90,116
19,173
99,109
102,147
82,148
94,164
79,187
14,131
89,152
42,197
65,194
9,140
12,190
113,155
89,144
100,156
27,202
42,109
12,173
106,194
94,198
44,117
95,149
109,149
105,180
15,181
76,195
80,134
120,152
25,209
50,136
131,155
118,161
23,179
94,189
26,194
86,194
116,144
50,198
94,136
112,185
14,205
108,140
120,190
34,208
40,218
42,95
114,172
34,92
33,197
124,179
88,201
84,209
9,123
58,202
59,119
124,160
66,204
87,137
124,169
117,178
86,125
99,130
60,214
24,138
70,187
47,213
119,134
107,126
30,216
52,222
79,113
100,123
39,229
74,204
13,117
114,197
42,85
93,128
41,208
54,209
24,223
53,84
93,207
129,184
23,216
35,79
46,228
113,133
43,77
102,206
33,236
51,237
27,240
126,143
67,215
66,223
39,241
49,205
67,111
28,229
78,217
95,213
93,123
109,201
57,230
35,68
75,103
117,206
122,198
61,238
49,72
35,222
20,232
64,231
72,237
92,225
133,190
145,203
133,197
70,91
71,118
70,125
46,241
48,89
128,203
136,208
60,222
42,64
60,83
105,213
85,217
59,110
73,227
74,98
67,85
63,133
43,235
82,240
76,81
54,78
80,201
84,230
78,232
90,237
29,62
105,223
115,213
101,139
129,211
102,239
123,216
84,223
111,231
174,212
181,212
61,73
79,97
57,67
98,221
70,75
103,231
113,222
128,225
110,242
87,99
169,233
136,220
192,208
51,64
135,230
117,229
146,230
120,222
118,238
83,72
102,69
178,204
124,231
143,240
146,221
135,238
148,212
142,213
185,180
96,76
56,49
18,40
82,104
98,49
96,65
87,67
97,57
90,52
10,74
25,43
90,73
126,241
23,33
26,21
43,47
105,38
33,32
83,56
33,41
40,34
195,174
192,185
18,69
17,79
52,40
29,74
199,184
50,33
38,24
15,24
90,59
10,86
29,82
61,25
14,30
11,14
49,23
65,19
55,17
18,12
41,16
25,14
64,10
10,68
49,16
43,29
33,11
54,10
32,17
209,190
180,128
186,133
216,186
227,207
217,194
231,183
10,37
235,177
229,165
168,26
203,193
